season,stage,home_team,away_team,actual_winner,p_home_advances,home_elo,away_elo,model_pick,correct,brier,log_loss,prediction_date
2024/2025,R16,Sporting CP,Borussia Dortmund,Borussia Dortmund,0.6666,1817.7,1753.5,Sporting CP,False,0.4444,1.0984,2025-02-11
2024/2025,R16,Celtic,Bayern Munich,Bayern Munich,0.09,1689.1,1898.8,Bayern Munich,True,0.0081,0.0943,2025-02-12
2024/2025,R16,Feyenoord,Milan,Feyenoord,0.2682,1738.4,1821.9,Milan,False,0.5355,1.316,2025-02-12
2024/2025,R16,PSV,Arsenal,Arsenal,0.1264,1804.4,1979.2,Arsenal,True,0.016,0.1351,2025-03-04
2024/2025,R16,Real Madrid,Atletico Madrid,Real Madrid,0.6784,1956.5,1886.0,Real Madrid,True,0.1034,0.388,2025-03-04
2024/2025,R16,PSG,Liverpool,PSG,0.3304,1945.8,2009.5,Liverpool,False,0.4484,1.1075,2025-03-05
2024/2025,R16,Club Brugge,Aston Villa,Aston Villa,0.3558,1731.2,1783.9,Aston Villa,True,0.1266,0.4397,2025-03-04
2024/2025,R16,Benfica,Barcelona,Barcelona,0.1564,1783.7,1925.6,Barcelona,True,0.0245,0.1701,2025-03-05
2024/2025,R16,Borussia Dortmund,Lille,Borussia Dortmund,0.4276,1774.6,1793.7,Lille,False,0.3276,0.8496,2025-03-04
2024/2025,R16,Bayern Munich,Bayer Leverkusen,Bayern Munich,0.5042,1913.5,1909.7,Bayern Munich,True,0.2458,0.6848,2025-03-05
2024/2025,R16,Feyenoord,Inter,Inter,0.0974,1749.9,1945.4,Inter,True,0.0095,0.1025,2025-03-05
2024/2025,QF,Arsenal,Real Madrid,Arsenal,0.6304,1996.3,1948.2,Arsenal,True,0.1366,0.4614,2025-04-08
2024/2025,QF,PSG,Aston Villa,PSG,0.7776,1959.7,1845.7,PSG,True,0.0495,0.2515,2025-04-09
2024/2025,QF,Barcelona,Borussia Dortmund,Barcelona,0.8434,1945.3,1788.8,Barcelona,True,0.0245,0.1703,2025-04-09
2024/2025,QF,Bayern Munich,Inter,Inter,0.4098,1927.1,1956.4,Inter,True,0.1679,0.5273,2025-04-08
2024/2025,SF,Arsenal,PSG,PSG,0.6842,2009.7,1935.0,Arsenal,False,0.4681,1.1526,2025-04-29
2024/2025,SF,Barcelona,Inter,Inter,0.5278,1957.7,1942.5,Barcelona,False,0.2786,0.7504,2025-04-30
2024/2025,Final,PSG,Inter,PSG,0.4818,1950.2,1957.3,Inter,False,0.2685,0.7302,2025-05-31
