season,stage,home_team,away_team,actual_winner,p_home_advances,home_elo,away_elo,model_pick,correct,brier,log_loss,prediction_date
2023/2024,QF,PSG,Barcelona,PSG,0.5252,1900.3,1888.2,PSG,True,0.2254,0.644,2024-04-10
2023/2024,QF,Arsenal,Bayern Munich,Bayern Munich,0.6294,1969.3,1922.0,Arsenal,False,0.3961,0.9926,2024-04-09
2023/2024,QF,Real Madrid,Manchester City,Real Madrid,0.2816,1973.8,2053.3,Manchester City,False,0.5161,1.2673,2024-04-09
2023/2024,SF,Borussia Dortmund,PSG,Borussia Dortmund,0.3804,1879.5,1918.8,PSG,False,0.3839,0.9665,2024-05-01
2023/2024,SF,Bayern Munich,Real Madrid,Real Madrid,0.3632,1938.0,1983.6,Real Madrid,True,0.1319,0.4513,2024-04-30
2023/2024,Final,Borussia Dortmund,Real Madrid,Real Madrid,0.2684,1877.6,1995.3,Real Madrid,True,0.072,0.3125,2024-06-01
2024/2025,R16,Juventus,PSV,PSV,0.6124,1842.5,1798.5,Juventus,False,0.375,0.9478,2025-02-11
2024/2025,R16,Manchester City,Real Madrid,Real Madrid,0.4798,1948.1,1949.8,Real Madrid,True,0.2302,0.6535,2025-02-11
2024/2025,R16,Brest,PSG,PSG,0.0798,1692.2,1920.9,PSG,True,0.0064,0.0832,2025-02-11
2024/2025,R16,Club Brugge,Atalanta,Club Brugge,0.1208,1724.2,1902.0,Atalanta,False,0.773,2.1136,2025-02-12
2024/2025,R16,Monaco,Benfica,Benfica,0.4272,1758.3,1777.4,Benfica,True,0.1825,0.5572,2025-02-12
2024/2025,R16,Sporting CP,Borussia Dortmund,Borussia Dortmund,0.641,1817.4,1764.7,Sporting CP,False,0.4109,1.0244,2025-02-11
2024/2025,R16,Celtic,Bayern Munich,Bayern Munich,0.094,1688.4,1893.6,Bayern Munich,True,0.0088,0.0987,2025-02-12
2024/2025,R16,Feyenoord,Milan,Feyenoord,0.268,1738.3,1821.9,Milan,False,0.5358,1.3168,2025-02-12
2024/2025,R16,PSV,Arsenal,Arsenal,0.1288,1816.8,1985.1,Arsenal,True,0.0166,0.1379,2025-03-04
2024/2025,R16,Real Madrid,Atletico Madrid,Real Madrid,0.7182,1969.9,1881.0,Real Madrid,True,0.0794,0.331,2025-03-04
2024/2025,R16,PSG,Liverpool,PSG,0.3426,1946.9,2003.3,Liverpool,False,0.4322,1.0712,2025-03-05
2024/2025,R16,Club Brugge,Aston Villa,Aston Villa,0.353,1733.0,1784.2,Aston Villa,True,0.1246,0.4354,2025-03-04
2024/2025,R16,Benfica,Barcelona,Barcelona,0.1672,1783.1,1920.2,Barcelona,True,0.028,0.183,2025-03-05
2024/2025,R16,Borussia Dortmund,Lille,Borussia Dortmund,0.4194,1775.6,1799.7,Lille,False,0.3371,0.8689,2025-03-04
2024/2025,R16,Bayern Munich,Bayer Leverkusen,Bayern Munich,0.499,1911.9,1910.7,Bayer Leverkusen,False,0.251,0.6951,2025-03-05
2024/2025,R16,Feyenoord,Inter,Inter,0.1032,1752.1,1943.8,Inter,True,0.0107,0.1089,2025-03-05
2024/2025,QF,Arsenal,Real Madrid,Arsenal,0.6002,2001.2,1964.1,Arsenal,True,0.1598,0.5105,2025-04-08
2024/2025,QF,PSG,Aston Villa,PSG,0.7854,1959.5,1841.1,PSG,True,0.0461,0.2416,2025-04-09
2024/2025,QF,Barcelona,Borussia Dortmund,Barcelona,0.8438,1948.4,1789.8,Barcelona,True,0.0244,0.1698,2025-04-09
2024/2025,QF,Bayern Munich,Inter,Inter,0.366,1920.2,1965.1,Inter,True,0.134,0.4557,2025-04-08
2024/2025,SF,Arsenal,PSG,PSG,0.657,2015.5,1956.7,Arsenal,False,0.4316,1.07,2025-04-29
2024/2025,SF,Barcelona,Inter,Inter,0.4898,1955.3,1955.0,Inter,True,0.2399,0.673,2025-04-30
2024/2025,Final,PSG,Inter,PSG,0.4806,1949.7,1957.7,Inter,False,0.2698,0.7327,2025-05-31
